instance,event_kind,event_time,event_target,seed,operator_id,source,decode_budget,decode_count,feasible_count,feasible_rate,changed_count,min_makespan,min_tec,hv,runtime_seconds,error_count
Mk02,order_cancellation,50,2,11,N1,baseline,20,20,20,1.0,20,151.35,1461.676,1.0165732482678795,0.03140979999989213,0
Mk02,order_cancellation,50,2,11,N2,baseline,20,20,20,1.0,20,160.26,1447.196,0.8847902735850803,0.030007600000317325,0
Mk02,order_cancellation,50,2,11,N3,baseline,20,20,20,1.0,20,160.68,1440.644,0.9109653013305502,0.026329699998314027,0
Mk02,order_cancellation,50,2,11,N4,baseline,20,20,20,1.0,20,188.59,1580.16,0.012989931579240133,0.04599670000061451,0
Mk02,order_cancellation,50,2,11,N5,baseline,20,20,20,1.0,20,150.26,1466.484,1.0123585692829735,0.02529770000001008,0
Mk02,order_cancellation,50,2,11,N6,baseline,20,20,20,1.0,20,188.59,1584.46,0.010000000000000018,0.051671899998837034,0
Mk02,order_cancellation,50,2,11,llm_i1_machine_speed,llm,20,20,20,1.0,20,188.59,1578.96,0.013824331089725785,0.027401100000133738,0
Mk02,order_cancellation,50,2,11,llm_e1_order_agv,llm,20,20,20,1.0,20,157.38,1463.776,0.8586180344275891,0.02985889999945357,0
Mk02,order_cancellation,50,2,11,llm_e2_machine_transport,llm,20,20,20,1.0,20,188.59,1561.06,0.026270790454469697,0.028006599999571336,0
Mk02,order_cancellation,50,2,11,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,179.5,1560.144,0.08504418457065216,0.025522600000840612,0
Mk02,order_cancellation,50,2,22,N1,baseline,20,20,20,1.0,20,162.32,1544.189,0.8593273321556599,0.025488299999778974,0
Mk02,order_cancellation,50,2,22,N2,baseline,20,20,20,1.0,20,162.44,1566.384,0.6512826798051053,0.025521800000205985,0
Mk02,order_cancellation,50,2,22,N3,baseline,20,20,20,1.0,20,173.29,1533.936,0.5624855634949462,0.02529569999933301,0
Mk02,order_cancellation,50,2,22,N4,baseline,20,20,20,1.0,20,170.29,1548.086,0.581689496210924,0.04211570000006759,0
Mk02,order_cancellation,50,2,22,N5,baseline,20,20,20,1.0,20,166.29,1548.356,0.7059183985070651,0.024534000000130618,0
Mk02,order_cancellation,50,2,22,N6,baseline,20,20,20,1.0,20,170.29000000000002,1540.586,0.6329350366622648,0.042591699999320554,0
Mk02,order_cancellation,50,2,22,llm_i1_machine_speed,llm,20,20,20,1.0,20,174.29,1565.478,0.36221755166752134,0.026250000000800355,0
Mk02,order_cancellation,50,2,22,llm_e1_order_agv,llm,20,20,20,1.0,20,162.32,1509.659,1.1931817579179727,0.028233600000021397,0
Mk02,order_cancellation,50,2,22,llm_e2_machine_transport,llm,20,20,20,1.0,20,186.29,1621.9859999999999,0.010000000000000018,0.02590090000012424,0
Mk02,order_cancellation,50,2,22,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,163.94,1537.284,0.8817512541856463,0.024715499999729218,0
Mk02,order_cancellation,50,2,33,N1,baseline,20,20,20,1.0,20,157.85,1532.105,1.0303110779138442,0.02739300000030198,0
Mk02,order_cancellation,50,2,33,N2,baseline,20,20,20,1.0,20,162.32,1506.08,1.0416672372475182,0.027854800000568503,0
Mk02,order_cancellation,50,2,33,N3,baseline,20,20,20,1.0,20,174.0,1592.6,0.304701360377679,0.028679299999566865,0
Mk02,order_cancellation,50,2,33,N4,baseline,20,20,20,1.0,20,167.44,1526.9759999999999,0.7476420728215686,0.04624539999895205,0
Mk02,order_cancellation,50,2,33,N5,baseline,20,20,20,1.0,20,161.35,1545.22,0.837391842914377,0.027707400000508642,0
Mk02,order_cancellation,50,2,33,N6,baseline,20,20,20,1.0,20,173.0,1607.4,0.26976316884556434,0.045935000000099535,0
Mk02,order_cancellation,50,2,33,llm_i1_machine_speed,llm,20,20,20,1.0,20,178.41,1613.889,0.16768447150179405,0.029931999999462278,0
Mk02,order_cancellation,50,2,33,llm_e1_order_agv,llm,20,20,20,1.0,20,160.35,1516.4960000000003,1.0245680389080072,0.03177719999985129,0
Mk02,order_cancellation,50,2,33,llm_e2_machine_transport,llm,20,20,20,1.0,20,187.06,1665.397,0.010000000000000018,0.031379699999888544,0
Mk02,order_cancellation,50,2,33,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,165.0,1565.852,0.6198841144585788,0.028814900000725174,0
Mk02,order_cancellation,50,2,44,N1,baseline,20,20,20,1.0,20,165.73,1593.729,1.2097417867728972,0.024846700000125566,0
Mk02,order_cancellation,50,2,44,N2,baseline,20,20,20,1.0,20,174.0,1637.199,0.7013793225627427,0.025090999999520136,0
Mk02,order_cancellation,50,2,44,N3,baseline,20,20,20,1.0,20,171.35,1645.25,0.7267855924985754,0.025457100000494393,0
Mk02,order_cancellation,50,2,44,N4,baseline,20,20,20,1.0,20,184.35,1653.02,0.3822160662693375,0.04517249999844353,0
Mk02,order_cancellation,50,2,44,N5,baseline,20,20,20,1.0,20,177.95999999999998,1671.134,0.4423523853811037,0.02564170000005106,0
Mk02,order_cancellation,50,2,44,N6,baseline,20,20,20,1.0,20,193.67,1720.2839999999999,0.07432522785461428,0.04453819999980624,0
Mk02,order_cancellation,50,2,44,llm_i1_machine_speed,llm,20,20,20,1.0,20,197.67,1758.084,0.010000000000000018,0.03193040000041947,0
Mk02,order_cancellation,50,2,44,llm_e1_order_agv,llm,20,20,20,1.0,20,167.47,1616.08,1.0078921751137881,0.03695460000017192,0
Mk02,order_cancellation,50,2,44,llm_e2_machine_transport,llm,20,20,20,1.0,20,197.67,1743.684,0.018761522314502226,0.03479469999911089,0
Mk02,order_cancellation,50,2,44,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,189.0,1689.6,0.19192022049648308,0.025217099999281345,0
Mk02,order_cancellation,50,2,55,N1,baseline,20,20,20,1.0,20,160.44,1521.406,0.10129020023008614,0.026179200000115088,0
Mk02,order_cancellation,50,2,55,N2,baseline,20,20,20,1.0,20,156.35,1478.599,0.3572732420536975,0.026818500000445056,0
Mk02,order_cancellation,50,2,55,N3,baseline,20,20,20,1.0,20,159.44,1482.0040000000001,0.2558185271058641,0.026583699998809607,0
Mk02,order_cancellation,50,2,55,N4,baseline,20,20,20,1.0,20,165.76,1528.7359999999999,0.025140045420136436,0.04381660000035481,0
Mk02,order_cancellation,50,2,55,N5,baseline,20,20,20,1.0,20,165.76,1532.333,0.021409994503956073,0.025942899999790825,0
Mk02,order_cancellation,50,2,55,N6,baseline,20,20,20,1.0,20,151.32,1469.6879999999999,0.577208289787227,0.04387520000091172,0
Mk02,order_cancellation,50,2,55,llm_i1_machine_speed,llm,20,20,20,1.0,20,165.76,1543.336,0.010000000000000018,0.027650600000924896,0
Mk02,order_cancellation,50,2,55,llm_e1_order_agv,llm,20,20,20,1.0,20,140.35,1446.903,1.200792790975301,0.02973810000003141,0
Mk02,order_cancellation,50,2,55,llm_e2_machine_transport,llm,20,20,20,1.0,20,165.76,1521.984,0.03214179793224324,0.027186400000573485,0
