question,metric,mean,positive_instances,instances,ci_low,ci_high
F1_K50_rule_minus_K25_fixed,gain,0.017461036807777698,4,6,0.004835111635617543,0.03006496777919046
F1_K50_rule_minus_K25_fixed,decodes,4.870370370370371,3,6,0.25925925925925924,12.462962962962964
F1_K50_rule_minus_K25_fixed,gain_per_decode,0.00012050356058285215,4,6,2.5567088774253513e-05,0.00020682184232869455
F1_K50_rule_minus_K25_fixed,outside_rate,-0.2399278382955259,0,6,-0.25417941354944446,-0.22581739729557995
F1_K50_rule_minus_K25_fixed,noop_rate,-3.671895234580261e-06,0,6,-8.56268295184228e-06,-6.130701153577252e-07
F1_K50_rule_minus_K25_fixed,duplicate_rate,-0.03776721990382626,1,6,-0.07598011405809717,-0.007570298374832952
F1_K50_rule_minus_K25_fixed,evaluation_rate,0.27769873009458673,6,6,0.24881003085596584,0.3159790060969256
F1_K50_rule_minus_K25_fixed,zero_decode_rate,-0.19972993827160498,0,6,-0.47243441358024696,-0.018074845679012345
F2_K_module_x_b_module,interaction_effect,0.007339157242587053,4,6,0.00038753262100242386,0.016531806055075125
F2_K_module_x_b_module,b_effect_k_off,-0.006253645108185265,1,6,-0.011327850216553038,-0.0008698801402096836
F2_K_module_x_b_module,b_effect_k_on,0.0010855121344017869,4,6,-0.0057787764528838765,0.007401888378448696
F3_110_q_minus_100_q,gain,-0.0016724485236200256,3,6,-0.011112026791252028,0.007075238427761976
F3_110_q_minus_100_q,decodes,1.888888888888889,3,6,0.2222222222222222,3.592592592592592
F3_110_q_minus_100_q,gain_per_decode,-3.3984443422151535e-05,3,6,-0.00012698355665704823,4.589362481965381e-05
F3_110_q_minus_100_q,outside_rate,0.11521576982692867,6,6,0.08009927106637972,0.15024790587672965
F3_110_q_minus_100_q,noop_rate,0.00067113453739871,6,6,0.0002547302936664002,0.0011367832162372633
F3_110_q_minus_100_q,duplicate_rate,-0.02267727687900502,1,6,-0.04613993589460549,0.0005547509061751844
F3_111_q_minus_101_q,gain,-0.003956485512088596,3,6,-0.011492582132768416,0.0027497205183755202
F3_111_q_minus_101_q,decodes,1.8888888888888886,2,6,-0.07407407407407407,5.592592592592593
F3_111_q_minus_101_q,gain_per_decode,-7.181779123597566e-05,3,6,-0.0001721440797467329,2.0185621080114463e-05
F3_111_q_minus_101_q,outside_rate,0.10073516559646896,6,6,0.06826522027839661,0.12461566376747746
F3_111_q_minus_101_q,noop_rate,0.0006524449920947599,6,6,0.0002449184870818724,0.001150460899530101
F3_111_q_minus_101_q,duplicate_rate,-0.017365132258256085,0,6,-0.027151709959884373,-0.008181459849260801
