instance,split,group,gain_per_budget,mean_gain,decodes,attempts,evaluated,zero_evaluation
Mk01,explore,R,0.00032847882205428136,0.002627830576434251,1784,37411,1139,86
Mk01,explore,S,0.0003074821962164877,0.0024598575697319016,1813,38280,1201,85
Mk01,explore,A,0.0005102999919848798,0.004082399935879039,1794,37980,1164,74
Mk01,explore,C,0.00041674499085266005,0.0033339599268212804,1808,38510,1201,83
Mk01,explore,W,0.00042179275276447515,0.003374342022115801,1823,37851,1177,94
Mk01,explore,L,0.00041927764968465706,0.0033542211974772564,1867,37350,1209,82
Mk02,explore,R,0.00036186980145243655,0.0028949584116194924,1798,37204,1144,90
Mk02,explore,S,0.000309552782612059,0.002476422260896472,1816,38133,1197,88
Mk02,explore,A,0.0004686472129577951,0.003749177703662361,1795,37823,1136,90
Mk02,explore,C,0.0004043861793567798,0.0032350894348542386,1790,38192,1168,77
Mk02,explore,W,0.0003569574069374157,0.0028556592554993257,1810,37724,1175,81
Mk02,explore,L,0.0003728749648708844,0.002982999718967075,1841,37541,1192,70
Mk03,validation,R,0.00012358457683361005,0.0009886766146688804,1700,37065,1048,109
Mk03,validation,S,0.00010903984850550088,0.0008723187880440071,1676,38327,983,135
Mk03,validation,A,0.00014339406773642137,0.001147152541891371,1690,37793,1032,117
Mk03,validation,C,0.0001206262052718619,0.0009650096421748953,1679,38197,993,130
Mk03,validation,W,0.00013140923971219958,0.0010512739176975967,1700,37854,1050,108
Mk03,validation,L,0.0001387111875805425,0.00110968950064434,1738,37935,1077,109
Mk04,explore,R,0.00024367992916585971,0.0019494394333268777,1731,37222,1066,115
Mk04,explore,S,0.00026306301109550284,0.0021045040887640227,1723,38047,1062,129
Mk04,explore,A,0.0004021832993503252,0.0032174663948026016,1748,37930,1096,88
Mk04,explore,C,0.00032740837858329433,0.0026192670286663547,1729,37938,1078,113
Mk04,explore,W,0.0003411027525906109,0.002728822020724887,1754,37908,1094,98
Mk04,explore,L,0.0003602252908544417,0.0028818023268355336,1790,37608,1119,102
Mk05,explore,R,0.00018976563664894954,0.0015181250931915963,1729,37237,1081,100
Mk05,explore,S,0.00020891000156305438,0.001671280012504435,1742,38869,1116,114
Mk05,explore,A,0.0002900927792497896,0.0023207422339983166,1748,37988,1119,84
Mk05,explore,C,0.00029326382827430525,0.002346110626194442,1724,38822,1094,100
Mk05,explore,W,0.00024959070436036534,0.0019967256348829227,1758,37932,1104,91
Mk05,explore,L,0.0002495834056015395,0.001996667244812316,1779,38333,1125,91
Mk06,validation,R,0.0001255091362219404,0.0010040730897755232,1699,37007,1060,112
Mk06,validation,S,0.00013642166654631861,0.001091373332370549,1691,38090,1008,126
Mk06,validation,A,0.0001588328020279448,0.0012706624162235583,1688,37946,1036,121
Mk06,validation,C,0.0001397927323701578,0.0011183418589612625,1691,38018,1020,126
Mk06,validation,W,0.00015430139674528148,0.0012344111739622519,1698,37737,1064,98
Mk06,validation,L,0.00016864646842377993,0.0013491717473902395,1724,37914,1088,95
