state,instance,split,generation,seed,rep,policy,decodes,budget,gain,batches,evaluated,feature_seconds,wall_seconds
Mk01-101-0,Mk01,explore,0,101,0,fixed,69,96,0.07409123268821306,96,69,0.01606350002839463,0.44173460000456544
Mk01-101-0,Mk01,explore,0,101,0,round,96,96,0.12826357981134132,37,68,0.00633079998078756,0.13648729999840725
Mk01-101-0,Mk01,explore,0,101,0,stop,96,96,0.17286789756171417,25,90,0.004272200021659955,0.10794760000135284
Mk01-101-0,Mk01,explore,0,101,0,feedback,96,96,0.2021049865073528,30,85,0.00499560000753263,0.12338000000454485
Mk01-101-0,Mk01,explore,0,101,1,fixed,68,96,0.0737125564522427,96,68,0.016189399982977193,0.4465039999995497
Mk01-101-0,Mk01,explore,0,101,1,round,96,96,0.16715658109786385,37,68,0.006082200008677319,0.13827689999743598
Mk01-101-0,Mk01,explore,0,101,1,stop,96,96,0.16284335411436252,25,90,0.004610999989381526,0.10735030000068946
Mk01-101-0,Mk01,explore,0,101,1,feedback,96,96,0.2089904593940687,30,88,0.0049266999994870275,0.11917840000387514
Mk01-101-0,Mk01,explore,0,101,2,fixed,65,96,0.08608935917813358,96,65,0.016002299991669133,0.4374136000042199
Mk01-101-0,Mk01,explore,0,101,2,round,96,96,0.14849001365996223,37,65,0.006192400003783405,0.1427183000050718
Mk01-101-0,Mk01,explore,0,101,2,stop,96,96,0.15725415877506735,25,90,0.00415699999575736,0.10158889999729581
Mk01-101-0,Mk01,explore,0,101,2,feedback,96,96,0.1547257139456244,30,82,0.004959600017173216,0.12066459999914514
Mk01-101-9,Mk01,explore,9,101,0,fixed,96,96,0.12603090179676507,25,96,0.004195699992123991,0.10893889999715611
Mk01-101-9,Mk01,explore,9,101,0,round,96,96,0.07996994976013685,37,66,0.006443699989176821,0.1360757000002195
Mk01-101-9,Mk01,explore,9,101,0,stop,96,96,0.10905066945061757,28,84,0.004693200018664356,0.10938059999898542
Mk01-101-9,Mk01,explore,9,101,0,feedback,96,96,0.14843386443502665,29,85,0.004885600013949443,0.11193150000326568
Mk01-101-9,Mk01,explore,9,101,1,fixed,94,96,0.15267589162225823,96,94,0.016494499999680556,0.2751745999994455
Mk01-101-9,Mk01,explore,9,101,1,round,96,96,0.03581196340794115,37,70,0.006312899997283239,0.14319830000022193
Mk01-101-9,Mk01,explore,9,101,1,stop,96,96,0.13702825855258094,29,84,0.004683300030592363,0.10958689999824855
Mk01-101-9,Mk01,explore,9,101,1,feedback,96,96,0.09656140130686246,30,87,0.00507820000348147,0.12021349999849917
Mk01-101-9,Mk01,explore,9,101,2,fixed,96,96,0.1439523054795307,24,96,0.003990500001236796,0.10356679999676999
Mk01-101-9,Mk01,explore,9,101,2,round,96,96,0.027778494248517964,37,64,0.006699900004605297,0.14692229999491246
Mk01-101-9,Mk01,explore,9,101,2,stop,96,96,0.1439523054795307,24,93,0.003830999994534068,0.09609739999723388
Mk01-101-9,Mk01,explore,9,101,2,feedback,96,96,0.07542165501595376,30,85,0.0051272000127937645,0.12362140000186628
Mk01-101-19,Mk01,explore,19,101,0,fixed,88,96,0.09197827748187265,96,88,0.01568190004763892,0.43988709999393905
Mk01-101-19,Mk01,explore,19,101,0,round,96,96,0.08936673247433881,39,68,0.006383200001437217,0.14285549999476643
Mk01-101-19,Mk01,explore,19,101,0,stop,96,96,0.08310762720879948,30,79,0.004920099985611159,0.11279970000032336
Mk01-101-19,Mk01,explore,19,101,0,feedback,96,96,0.06379886977448385,32,86,0.005179000036150683,0.13154999999824213
Mk01-101-19,Mk01,explore,19,101,1,fixed,49,96,0.06282524251854105,96,49,0.01593330001924187,0.4415962000057334
Mk01-101-19,Mk01,explore,19,101,1,round,95,96,0.10708966808504128,37,69,0.0059046999595011584,0.14251019999937853
Mk01-101-19,Mk01,explore,19,101,1,stop,96,96,0.07639488372790668,29,82,0.004765099969517905,0.11107910000282573
Mk01-101-19,Mk01,explore,19,101,1,feedback,96,96,0.09657910424937748,31,88,0.00507790000847308,0.11802850000094622
Mk01-101-19,Mk01,explore,19,101,2,fixed,65,96,0.08731753844441421,96,65,0.015970999978890177,0.4388766999982181
Mk01-101-19,Mk01,explore,19,101,2,round,96,96,0.08070913799477226,37,65,0.005998100030410569,0.1377751999971224
Mk01-101-19,Mk01,explore,19,101,2,stop,96,96,0.08969187022797213,28,79,0.004683999992266763,0.10679019999952288
Mk01-101-19,Mk01,explore,19,101,2,feedback,96,96,0.09370456623130433,31,86,0.004970899972249754,0.13864270000340184
