state,instance,split,generation,group,fraction,policy,n,gain_per_budget
Mk01-101-0,Mk01,explore,0,R,0.25,conditional,5,0.0022117833143046454
Mk01-101-0,Mk01,explore,0,R,0.25,fixed,3,0.00048208278589935346
Mk01-101-0,Mk01,explore,0,R,0.25,shuffled,5,0.0022117833143046454
Mk01-101-0,Mk01,explore,0,R,0.5,conditional,3,0.0013319596554665905
Mk01-101-0,Mk01,explore,0,R,0.5,fixed,3,0.0013319596554665905
Mk01-101-0,Mk01,explore,0,R,0.5,shuffled,5,0.0017277498698249558
Mk01-101-0,Mk01,explore,0,S,0.25,conditional,5,0.0021999758106928226
Mk01-101-0,Mk01,explore,0,S,0.25,fixed,3,0.000971984645033585
Mk01-101-0,Mk01,explore,0,S,0.25,shuffled,5,0.0021999758106928226
Mk01-101-0,Mk01,explore,0,S,0.5,conditional,3,0.0014839563999165025
Mk01-101-0,Mk01,explore,0,S,0.5,fixed,3,0.0014839563999165025
Mk01-101-0,Mk01,explore,0,S,0.5,shuffled,3,0.0014839563999165025
Mk01-101-0,Mk01,explore,0,A,0.25,conditional,3,0.0013662137917952114
Mk01-101-0,Mk01,explore,0,A,0.25,fixed,3,0.0013662137917952114
Mk01-101-0,Mk01,explore,0,A,0.25,shuffled,3,0.0013662137917952114
Mk01-101-0,Mk01,explore,0,A,0.5,conditional,3,0.0013542736573566912
Mk01-101-0,Mk01,explore,0,A,0.5,fixed,3,0.0013542736573566912
Mk01-101-0,Mk01,explore,0,A,0.5,shuffled,3,0.0013542736573566912
Mk01-101-0,Mk01,explore,0,C,0.25,conditional,5,0.002216985574150644
Mk01-101-0,Mk01,explore,0,C,0.25,fixed,3,0.0013662137917952114
Mk01-101-0,Mk01,explore,0,C,0.25,shuffled,5,0.002216985574150644
Mk01-101-0,Mk01,explore,0,C,0.5,conditional,3,0.0014839563999165025
Mk01-101-0,Mk01,explore,0,C,0.5,fixed,3,0.0014839563999165025
Mk01-101-0,Mk01,explore,0,C,0.5,shuffled,5,0.0012935554242752424
Mk01-101-0,Mk01,explore,0,W,0.25,conditional,3,0.001905457769836585
Mk01-101-0,Mk01,explore,0,W,0.25,fixed,3,0.001905457769836585
Mk01-101-0,Mk01,explore,0,W,0.25,shuffled,3,0.001905457769836585
Mk01-101-0,Mk01,explore,0,W,0.5,conditional,3,0.001456111047010417
Mk01-101-0,Mk01,explore,0,W,0.5,fixed,3,0.001456111047010417
Mk01-101-0,Mk01,explore,0,W,0.5,shuffled,3,0.001456111047010417
Mk01-101-0,Mk01,explore,0,L,0.25,conditional,3,0.002268465237131481
Mk01-101-0,Mk01,explore,0,L,0.25,fixed,3,0.002268465237131481
Mk01-101-0,Mk01,explore,0,L,0.25,shuffled,3,0.002268465237131481
Mk01-101-0,Mk01,explore,0,L,0.5,conditional,3,0.0014670244781211175
Mk01-101-0,Mk01,explore,0,L,0.5,fixed,3,0.0014670244781211175
Mk01-101-0,Mk01,explore,0,L,0.5,shuffled,3,0.0014670244781211175
Mk01-101-19,Mk01,explore,19,R,0.25,conditional,5,6.068768903002613e-05
Mk01-101-19,Mk01,explore,19,R,0.25,fixed,3,0.00021287167058028312
Mk01-101-19,Mk01,explore,19,R,0.25,shuffled,5,6.068768903002613e-05
Mk01-101-19,Mk01,explore,19,R,0.5,conditional,3,0.00020191748588022353
Mk01-101-19,Mk01,explore,19,R,0.5,fixed,3,0.00020191748588022353
Mk01-101-19,Mk01,explore,19,R,0.5,shuffled,5,0.00011293369660776737
Mk01-101-19,Mk01,explore,19,S,0.25,conditional,5,9.10315335450392e-05
Mk01-101-19,Mk01,explore,19,S,0.25,fixed,3,6.21164311838187e-05
Mk01-101-19,Mk01,explore,19,S,0.25,shuffled,5,9.10315335450392e-05
Mk01-101-19,Mk01,explore,19,S,0.5,conditional,3,0.0003564555119753336
Mk01-101-19,Mk01,explore,19,S,0.5,fixed,3,0.0003564555119753336
Mk01-101-19,Mk01,explore,19,S,0.5,shuffled,3,0.0003564555119753336
Mk01-101-19,Mk01,explore,19,A,0.25,conditional,3,0.0014743361378753946
Mk01-101-19,Mk01,explore,19,A,0.25,fixed,3,0.0014743361378753946
Mk01-101-19,Mk01,explore,19,A,0.25,shuffled,3,0.0014743361378753946
Mk01-101-19,Mk01,explore,19,A,0.5,conditional,3,0.0010613319523728934
Mk01-101-19,Mk01,explore,19,A,0.5,fixed,3,0.0010613319523728934
Mk01-101-19,Mk01,explore,19,A,0.5,shuffled,3,0.0010613319523728934
Mk01-101-19,Mk01,explore,19,C,0.25,conditional,5,9.10315335450392e-05
Mk01-101-19,Mk01,explore,19,C,0.25,fixed,3,0.0001683731779061553
Mk01-101-19,Mk01,explore,19,C,0.25,shuffled,5,9.10315335450392e-05
Mk01-101-19,Mk01,explore,19,C,0.5,conditional,3,0.001087400204846597
Mk01-101-19,Mk01,explore,19,C,0.5,fixed,3,0.001087400204846597
Mk01-101-19,Mk01,explore,19,C,0.5,shuffled,5,0.0001133278379436926
Mk01-101-19,Mk01,explore,19,W,0.25,conditional,3,0.00017152837284474545
Mk01-101-19,Mk01,explore,19,W,0.25,fixed,3,0.00017152837284474545
Mk01-101-19,Mk01,explore,19,W,0.25,shuffled,3,0.00017152837284474545
Mk01-101-19,Mk01,explore,19,W,0.5,conditional,3,0.0010581003455673455
Mk01-101-19,Mk01,explore,19,W,0.5,fixed,3,0.0010581003455673455
Mk01-101-19,Mk01,explore,19,W,0.5,shuffled,3,0.0010581003455673455
Mk01-101-19,Mk01,explore,19,L,0.25,conditional,3,0.00021581963583137617
Mk01-101-19,Mk01,explore,19,L,0.25,fixed,3,0.00021581963583137617
Mk01-101-19,Mk01,explore,19,L,0.25,shuffled,3,0.00021581963583137617
Mk01-101-19,Mk01,explore,19,L,0.5,conditional,3,0.001087400204846597
Mk01-101-19,Mk01,explore,19,L,0.5,fixed,3,0.001087400204846597
