instance,group,utility,gain_per_budget,mean_gain,decodes,evaluated,zero_decode_trials,zero_gain_trials,wall_seconds
Mk01,R0,0.000670718238557192,0.000572489177864482,0.003281492273349578,3567,2353,148,485,4.9016085000023395
Mk01,R1,0.0006526211163875977,0.0005319608985310815,0.0030154392882228128,3532,2341,170,505,4.897894799998312
Mk01,S,0.0006593943599773572,0.0005311995437827286,0.00303425150759542,3531,2419,167,474,4.889988399998515
Mk01,A,0.0008553284420692653,0.0007280122088176573,0.00419211323268039,3525,2330,158,440,4.870952800001078
Mk01,C,0.0007404535938000663,0.0006147155939516946,0.0034928704074603718,3617,2532,144,430,4.938551600003279
Mk02,R0,0.0005114156098919644,0.0004465118554688944,0.0025829262532853755,3538,2291,163,514,5.053918900000895
Mk02,R1,0.0005322106834936388,0.00047393558790418853,0.0027186194652803345,3545,2357,149,476,5.074594099998649
Mk02,S,0.00041752377134051874,0.00034460962598871524,0.00199168611190621,3519,2375,171,523,5.075408800000446
Mk02,A,0.0007494518673390816,0.0006115865931918254,0.0035108186493073993,3576,2351,146,412,5.099603899999693
Mk02,C,0.0005785471570707198,0.0004841991066519658,0.0028017907948451933,3574,2450,164,454,5.136468499999182
Mk04,R0,0.00026392288450560107,0.00024430786990173407,0.0014339322454991843,3430,2214,178,513,7.7860837000016545
Mk04,R1,0.00027747546930042947,0.0002607272815025305,0.0015011388741419463,3412,2165,198,510,7.749870700002134
Mk04,S,0.00027139816846094057,0.0002572845726360983,0.0015038748854419462,3452,2215,174,499,7.839362199998618
Mk04,A,0.00033943422160841744,0.0003239020515905848,0.0018706686985979284,3412,2169,185,494,7.734830200000943
Mk04,C,0.00032922792852562794,0.00031006439611916447,0.0018004750363671755,3406,2143,181,481,7.709197100000097
Mk05,R0,0.0002613474750712446,0.0002478295759884471,0.0014477427436312184,3412,2156,197,496,8.886222200003886
Mk05,R1,0.00032343909556931485,0.00030661625949380254,0.0017828714931636665,3409,2185,187,480,8.974299600000904
Mk05,S,0.00026022702067212734,0.00024586051256759436,0.0014231173623968072,3388,2194,198,505,8.98502150000536
Mk05,A,0.00037859681750845143,0.00035431735534300924,0.0020572518268471974,3367,2144,197,457,8.876969200001895
Mk05,C,0.0003997891100557751,0.0003794495691611606,0.002177642340821583,3368,2150,203,461,8.934700700002395
