group,n,b,utility,gain_per_budget,mean_gain,attempts,outside,noop,duplicate,evaluated,zero_evaluation_trials
R0,1,4,0.00031305378371197453,0.00013149224993588544,0.0005259689997435418,44941,44423,149,7,362,109
R0,1,8,0.00032287639826675084,0.0001329518914592302,0.0010636151316738415,90973,89942,278,39,714,63
R0,2,4,3.4819252419480717e-05,9.158545881677103e-06,3.663418352670841e-05,46080,46039,15,0,26,267
R0,2,8,4.89106421905578e-05,6.917027360003196e-06,5.533621888002557e-05,92160,92077,28,0,55,247
R0,3,4,0.0010182790380175793,0.0010182790380175793,0.004073116152070317,3727,2493,0,82,1152,0
R0,3,8,0.000897634767789601,0.000897634767789601,0.007181078142316808,8718,5922,0,492,2304,0
R0,4,4,0.00022568511209073328,0.00019047178948379258,0.0007618871579351703,695,433,18,10,234,94
R0,4,8,0.00019331386489618237,0.00017513326086839574,0.001401066086947166,1598,1002,42,83,471,37
R0,5,4,0.0009200331323474068,0.0009200331323474068,0.003680132529389627,3538,2355,0,31,1152,0
R0,5,8,0.0006946047602506203,0.0006946047602506203,0.005556838082004962,7147,4673,0,170,2304,0
R0,6,4,0.00031710131046798354,0.00023782598285098766,0.0009513039314039506,744,504,0,120,120,168
R0,6,8,0.00013590056162913583,0.00011891299142549383,0.0009513039314039506,1896,1176,0,600,120,168
R1,1,4,0.0003555320129441659,0.00015088717468122933,0.0006035486987249173,44852,44365,147,6,334,118
R1,1,8,0.00034823296840840086,0.00012676508546289602,0.0010141206837031682,90726,89724,281,43,678,70
R1,2,4,3.285997387995391e-05,1.566326445981659e-05,6.265305783926636e-05,46080,46045,15,0,20,270
R1,2,8,4.1096951098567587e-05,1.066072052313276e-05,8.528576418506208e-05,92160,92084,28,1,47,246
R1,3,4,0.0010214065480844575,0.0010214065480844575,0.00408562619233783,3871,2624,0,95,1152,0
R1,3,8,0.0008192026410128878,0.0008192026410128878,0.006553621128103103,8824,6045,0,475,2304,0
R1,4,4,0.00026088112786139115,0.000212194102042147,0.000848776408168588,689,404,17,13,255,76
R1,4,8,0.00022995691996220095,0.00021307285328105207,0.0017045828262484165,1543,883,40,80,540,26
R1,5,4,0.0010331198907944275,0.0010331198907944275,0.00413247956317771,3542,2356,0,34,1152,0
R1,5,8,0.0007528217860713061,0.0007528217860713061,0.006022574288570449,7324,4873,0,147,2304,0
R1,6,4,0.00032348979189462826,0.00024261734392097117,0.0009704693756838847,733,471,0,131,131,157
R1,6,8,0.00013863848224055498,0.00012130867196048558,0.0009704693756838847,1885,1099,0,655,131,157
S,1,4,0.0002725832220210251,0.00011476037724724091,0.00045904150898896365,45106,44637,147,9,313,121
S,1,8,0.0003096675137059147,0.00011015309724578048,0.0008812247779662438,91503,90557,277,32,637,72
S,2,4,0.00011233665548426533,2.808416387106633e-05,0.00011233665548426533,46080,46042,15,0,23,265
S,2,8,0.00011256792756295905,1.4070990945369882e-05,0.00011256792756295905,92160,92093,28,0,39,252
S,3,4,0.0007195285318011737,0.0007195285318011737,0.002878114127204695,4313,3078,0,83,1152,0
S,3,8,0.0006506712571026557,0.0006506712571026557,0.005205370056821246,10406,7533,0,569,2304,0
S,4,4,0.00023073757786890107,0.00021040932439387032,0.0008416372975754813,642,264,16,20,342,54
S,4,8,0.00021377775173671634,0.00019406736211409793,0.0015525388969127834,1421,607,39,94,681,36
S,5,4,0.000967836421306723,0.000967836421306723,0.003871345685226892,3481,2305,0,24,1152,0
S,5,8,0.000724667272809245,0.000724667272809245,0.00579733818247396,7452,4976,0,172,2304,0
S,6,4,0.0003578790809672769,0.0002684093107254576,0.0010736372429018305,736,480,0,128,128,160
S,6,8,0.0001533767489859758,0.0001342046553627288,0.0010736372429018305,1888,1120,0,640,128,160
A,1,4,0.0005016699355744863,0.00027537547303495,0.0011015018921398,45190,44710,149,10,321,120
A,1,8,0.0005248130257369415,0.00023718711685948295,0.0018974969348758636,91751,90734,280,44,693,60
A,2,4,8.455076689457353e-05,2.1137691723643382e-05,8.455076689457353e-05,46080,46042,15,0,23,266
A,2,8,0.0001286371235646665,1.8920643674024713e-05,0.0001513651493921977,92160,92078,28,0,54,240
