group,instance,state,selected_action,fixed_action,selected_test_utility,fixed_test_utility,random_test_utility,hindsight_oracle_utility
S,Mk01,Mk01-11-0,0.5-N5-b4,0.5-N5-b4,0.0026611278011821927,0.0026611278011821927,0.0003334493044735004,0.0026611278011821927
S,Mk01,Mk01-11-1,0.25-N6-b4,0.5-N5-b4,0.0020100706617396965,0.0008949221728051676,0.00044138026724058985,0.0020100706617396965
S,Mk01,Mk01-11-2,0.25-N6-b4,0.5-N5-b4,0.0020100706617396965,0.0015819658421830666,0.0006023146922221882,0.0020100706617396965
S,Mk01,Mk01-22-0,0.25-N1-b4,0.5-N5-b4,0.007072138744988067,0.0020676668653637834,0.001829245522529341,0.007072138744988067
S,Mk01,Mk01-22-1,0.25-N5-b4,0.5-N5-b4,0.004077201298157277,0.002048422155564838,0.0005535024172876907,0.004077201298157277
S,Mk01,Mk01-22-2,0.5-N3-b8,0.5-N5-b4,0.0004024333471918637,0.0003068445541178574,9.096841622795357e-05,0.0006577621280602554
S,Mk01,Mk01-33-0,0.25-N5-b4,0.5-N5-b4,0.001712410588818474,0.002729996455612907,0.00046742273932642636,0.002729996455612907
S,Mk01,Mk01-33-1,0.5-N3-b4,0.5-N5-b4,0.0018726699648052756,3.10567895081635e-05,0.00020791677297005072,0.0018726699648052756
S,Mk01,Mk01-33-2,0.25-N6-b4,0.5-N5-b4,0.007513023908191967,0.00031163068890431534,0.0019377358906748452,0.007513023908191967
S,Mk02,Mk02-11-0,0.5-N5-b4,0.5-N5-b4,0.0014738817037311866,0.0014738817037311866,0.0008082573684208171,0.0031155173847260942
S,Mk02,Mk02-11-1,0.25-N5-b4,0.5-N5-b4,0.002757922443631376,0.0020232412698725794,0.0008313557557721637,0.003188348250367792
S,Mk02,Mk02-11-2,0.25-N3-b4,0.5-N5-b4,5.219747229759375e-05,0.0004299172429095494,5.8818543685213724e-05,0.0004299172429095494
S,Mk02,Mk02-22-0,0.25-N1-b4,0.5-N5-b4,0.0,0.00306173459759089,0.0006163848479360073,0.00306173459759089
S,Mk02,Mk02-22-1,0.25-N2-b4,0.5-N5-b4,0.0,8.622126056776207e-05,0.00035080440832825334,0.0014795247598303682
S,Mk02,Mk02-22-2,0.25-N3-b4,0.5-N5-b4,2.49626998031396e-05,0.0,5.859634013584936e-05,0.0006298193020149819
S,Mk02,Mk02-33-0,0.5-N2-b4,0.5-N5-b4,0.0025284877151339723,2.711670804284418e-05,0.0003463575947918946,0.0025284877151339723
S,Mk02,Mk02-33-1,0.5-N5-b4,0.5-N5-b4,0.0006039269654667609,0.0006039269654667609,0.00018784383073481764,0.0008286782528737265
S,Mk02,Mk02-33-2,0.5-N3-b4,0.5-N5-b4,0.0003581855165035201,0.0005463261809570065,0.0001492974071377884,0.0005463261809570065
S,Mk04,Mk04-11-0,0.5-N6-b4,0.5-N5-b4,0.0015487697247253355,0.0008124244237274227,0.0002223304790364496,0.0015487697247253355
S,Mk04,Mk04-11-1,0.5-N5-b4,0.5-N5-b4,0.0009434313129640765,0.0009434313129640765,0.000500798989836125,0.0018377243490529942
S,Mk04,Mk04-11-2,0.25-N5-b4,0.5-N5-b4,0.00013925852346275097,9.701582338233583e-05,5.296332313223568e-05,0.00036830002408355547
S,Mk04,Mk04-22-0,0.25-N3-b4,0.5-N5-b4,0.00023573711280400504,0.000996138914393465,0.00019493517286459504,0.0011603344079037282
S,Mk04,Mk04-22-1,0.25-N5-b4,0.5-N5-b4,0.0020659105086917517,0.00018576714280728952,0.00039646300025084617,0.0023206688158074564
S,Mk04,Mk04-22-2,0.5-N5-b4,0.5-N5-b4,0.0013909131217251709,0.0013909131217251709,0.00023196178468306945,0.0013909131217251709
S,Mk04,Mk04-33-0,0.5-N5-b4,0.5-N5-b4,0.0003304907671249958,0.0003304907671249958,0.0004831929173416179,0.0023231464974737062
S,Mk04,Mk04-33-1,0.25-N5-b4,0.5-N5-b4,0.0015904863640665789,0.0015904863640665802,0.00041419830175821846,0.0015904863640665802
S,Mk04,Mk04-33-2,0.5-N3-b4,0.5-N5-b4,0.00013605824788214026,0.00033746528965875023,0.00019992665051235645,0.0013995213779251833
S,Mk05,Mk05-11-0,0.5-N3-b4,0.5-N5-b4,0.0009203294580595405,0.0008012018011024356,0.00022579946249697482,0.0009203294580595405
S,Mk05,Mk05-11-1,0.5-N4-b4,0.5-N5-b4,0.0,0.00011468503054237007,0.00019187022918292735,0.0009496338055743785
S,Mk05,Mk05-11-2,0.5-N1-b8,0.5-N5-b4,0.0006722355253289808,0.0004652522201937031,0.0001700494955590154,0.0006722355253289808
S,Mk05,Mk05-22-0,0.25-N3-b4,0.5-N5-b4,0.0017961023993498038,4.119968255444917e-18,0.00048514172056149195,0.0018064853406848003
S,Mk05,Mk05-22-1,0.25-N3-b4,0.5-N5-b4,0.0008545273584378657,0.0005937505990304978,0.00039660822909690026,0.0016209720030420807
S,Mk05,Mk05-22-2,0.25-N3-b4,0.5-N5-b4,0.0004956276699439549,0.00223693395129563,0.000397805082769178,0.00223693395129563
S,Mk05,Mk05-33-0,0.25-N5-b4,0.5-N5-b4,0.0008055148912359965,0.0002263190040259265,0.00013234063228315273,0.0008055148912359965
S,Mk05,Mk05-33-1,0.5-N5-b4,0.5-N5-b4,0.0020953616598440162,0.0020953616598440162,0.00021848594545729712,0.0020953616598440162
S,Mk05,Mk05-33-2,0.5-N3-b4,0.5-N5-b4,0.0008843419632459586,0.0004193278671529967,0.0003695965486138436,0.0014349885632216957
C,Mk01,Mk01-11-0,0.5-N5-b4,0.25-N5-b4,0.0027551207824087183,0.0006290338268844014,0.0006956180653606985,0.0027551207824087183
C,Mk01,Mk01-11-1,0.25-N6-b4,0.25-N5-b4,0.0020100706617396965,0.0009342762665533822,0.00044750873514046445,0.0020100706617396965
C,Mk01,Mk01-11-2,0.25-N6-b4,0.25-N5-b4,0.0020100706617396965,0.0018975433518808311,0.001236249587797681,0.005888147339250896
C,Mk01,Mk01-22-0,0.5-N2-b4,0.25-N5-b4,0.0,0.0020480238523913844,0.000651151810942174,0.0024908436202964617
C,Mk01,Mk01-22-1,0.25-N5-b4,0.25-N5-b4,0.004077201298157277,0.004077201298157277,0.0005723832541802359,0.004077201298157277
C,Mk01,Mk01-22-2,0.5-N3-b4,0.25-N5-b4,7.873593205759985e-05,0.00028808125346659616,4.55797419605915e-05,0.00028808125346659616
C,Mk01,Mk01-33-0,0.25-N5-b4,0.25-N5-b4,0.0036771668863254843,0.0036771668863254843,0.0006686962908382219,0.0036771668863254843
C,Mk01,Mk01-33-1,0.5-N3-b4,0.25-N5-b4,0.0018726699648052756,0.000439629849471893,0.0003144388926078536,0.0018726699648052756
C,Mk01,Mk01-33-2,0.25-N6-b4,0.25-N5-b4,0.007513023908191967,0.0029747292354591207,0.001990659619321902,0.007513023908191967
C,Mk02,Mk02-11-0,0.5-N5-b4,0.25-N5-b4,0.003434540991165213,0.0033519533703553215,0.0014795556335891488,0.003831151442215734
C,Mk02,Mk02-11-1,0.5-N2-b8,0.25-N5-b4,0.0,0.0025964350280178296,0.0006613739589507751,0.0025964350280178296
