group,features,instance,state,selected_action,fixed_action,selected_utility,fixed_utility,random_utility,hindsight_oracle_utility,prediction_seconds
S,simple,Mk01,Mk01-11-0,0.5-N5-b4,0.5-N5-b4,0.0026611278011821927,0.0026611278011821927,0.0003334493044735004,0.0026611278011821927,0.0004716999999345717
S,cross,Mk01,Mk01-11-0,0.5-N5-b4,0.5-N5-b4,0.0026611278011821927,0.0026611278011821927,0.0003334493044735004,0.0026611278011821927,0.0005820999999741616
S,simple,Mk01,Mk01-11-1,0.25-N5-b4,0.5-N5-b4,0.0009342762665533822,0.0008949221728051676,0.00044138026724058985,0.0020100706617396965,0.00036820000013904064
S,cross,Mk01,Mk01-11-1,0.25-N2-b4,0.5-N5-b4,0.0,0.0008949221728051676,0.00044138026724058985,0.0020100706617396965,0.0005767000000105327
S,simple,Mk01,Mk01-11-2,0.5-N5-b4,0.5-N5-b4,0.0015819658421830666,0.0015819658421830666,0.0006023146922221882,0.0020100706617396965,0.00034060000007229974
S,cross,Mk01,Mk01-11-2,0.5-N5-b4,0.5-N5-b4,0.0015819658421830666,0.0015819658421830666,0.0006023146922221882,0.0020100706617396965,0.0005495000000337313
S,simple,Mk01,Mk01-22-0,0.5-N5-b4,0.5-N5-b4,0.0020676668653637834,0.0020676668653637834,0.001829245522529341,0.007072138744988067,0.00035150000007888593
S,cross,Mk01,Mk01-22-0,0.25-N1-b4,0.5-N5-b4,0.007072138744988067,0.0020676668653637834,0.001829245522529341,0.007072138744988067,0.0005539999999655265
S,simple,Mk01,Mk01-22-1,0.25-N5-b4,0.5-N5-b4,0.004077201298157277,0.002048422155564838,0.0005535024172876907,0.004077201298157277,0.000343500000099084
S,cross,Mk01,Mk01-22-1,0.5-N5-b4,0.5-N5-b4,0.002048422155564838,0.002048422155564838,0.0005535024172876907,0.004077201298157277,0.0005488000001605542
S,simple,Mk01,Mk01-22-2,0.25-N5-b4,0.5-N5-b4,0.00028808125346659616,0.0003068445541178574,9.096841622795357e-05,0.0006577621280602554,0.0004060000001118169
S,cross,Mk01,Mk01-22-2,0.5-N5-b4,0.5-N5-b4,0.0003068445541178574,0.0003068445541178574,9.096841622795357e-05,0.0006577621280602554,0.0005515000000286818
S,simple,Mk01,Mk01-33-0,0.5-N5-b4,0.5-N5-b4,0.002729996455612907,0.002729996455612907,0.00046742273932642636,0.002729996455612907,0.00034159999995608814
S,cross,Mk01,Mk01-33-0,0.5-N5-b4,0.5-N5-b4,0.002729996455612907,0.002729996455612907,0.00046742273932642636,0.002729996455612907,0.0005592999998498271
S,simple,Mk01,Mk01-33-1,0.25-N5-b4,0.5-N5-b4,0.000439629849471893,3.10567895081635e-05,0.00020791677297005072,0.0018726699648052756,0.0003460000000359287
S,cross,Mk01,Mk01-33-1,0.5-N5-b4,0.5-N5-b4,3.10567895081635e-05,3.10567895081635e-05,0.00020791677297005072,0.0018726699648052756,0.0005621999998766114
S,simple,Mk01,Mk01-33-2,0.5-N5-b4,0.5-N5-b4,0.00031163068890431534,0.00031163068890431534,0.0019377358906748452,0.007513023908191967,0.0003394000000298547
S,cross,Mk01,Mk01-33-2,0.5-N5-b4,0.5-N5-b4,0.00031163068890431534,0.00031163068890431534,0.0019377358906748452,0.007513023908191967,0.0005513000000973989
S,simple,Mk02,Mk02-11-0,0.5-N5-b4,0.25-N5-b4,0.0014738817037311866,7.849569523116023e-05,0.0008082573684208171,0.0031155173847260942,0.0003558999999313528
S,cross,Mk02,Mk02-11-0,0.25-N5-b4,0.25-N5-b4,7.849569523116023e-05,7.849569523116023e-05,0.0008082573684208171,0.0031155173847260942,0.0005607000000509288
S,simple,Mk02,Mk02-11-1,0.25-N5-b4,0.25-N5-b4,0.002757922443631376,0.002757922443631376,0.0008313557557721637,0.003188348250367792,0.0003460999998878833
S,cross,Mk02,Mk02-11-1,0.5-N5-b4,0.25-N5-b4,0.0020232412698725794,0.002757922443631376,0.0008313557557721637,0.003188348250367792,0.0005470999999488413
S,simple,Mk02,Mk02-11-2,0.5-N5-b4,0.25-N5-b4,0.0004299172429095494,0.0,5.8818543685213724e-05,0.0004299172429095494,0.00034789999995155085
S,cross,Mk02,Mk02-11-2,0.25-N6-b4,0.25-N5-b4,0.0,0.0,5.8818543685213724e-05,0.0004299172429095494,0.0005567000000610278
S,simple,Mk02,Mk02-22-0,0.5-N5-b4,0.25-N5-b4,0.00306173459759089,0.0006890419216129652,0.0006163848479360073,0.00306173459759089,0.00034630000004653994
S,cross,Mk02,Mk02-22-0,0.5-N5-b4,0.25-N5-b4,0.00306173459759089,0.0006890419216129652,0.0006163848479360073,0.00306173459759089,0.0005449000000226079
S,simple,Mk02,Mk02-22-1,0.25-N5-b4,0.25-N5-b4,0.0,0.0,0.00035080440832825334,0.0014795247598303682,0.00034690000006776245
S,cross,Mk02,Mk02-22-1,0.5-N5-b4,0.25-N5-b4,8.622126056776207e-05,0.0,0.00035080440832825334,0.0014795247598303682,0.0005516999999599648
S,simple,Mk02,Mk02-22-2,0.5-N3-b4,0.25-N5-b4,0.00021815942537252767,0.0,5.859634013584936e-05,0.0006298193020149819,0.0003460000000359287
S,cross,Mk02,Mk02-22-2,0.25-N6-b4,0.25-N5-b4,0.0,0.0,5.859634013584936e-05,0.0006298193020149819,0.000542999999879612
S,simple,Mk02,Mk02-33-0,0.5-N5-b4,0.25-N5-b4,2.711670804284418e-05,0.0009706545911017282,0.0003463575947918946,0.0025284877151339723,0.00034740000000965665
S,cross,Mk02,Mk02-33-0,0.5-N5-b4,0.25-N5-b4,2.711670804284418e-05,0.0009706545911017282,0.0003463575947918946,0.0025284877151339723,0.0005504999999175197
S,simple,Mk02,Mk02-33-1,0.5-N5-b4,0.25-N5-b4,0.0006039269654667609,9.698925971566305e-05,0.00018784383073481764,0.0008286782528737265,0.0003455000000940345
S,cross,Mk02,Mk02-33-1,0.5-N5-b4,0.25-N5-b4,0.0006039269654667609,9.698925971566305e-05,0.00018784383073481764,0.0008286782528737265,0.0005381000000852509
S,simple,Mk02,Mk02-33-2,0.5-N3-b4,0.25-N5-b4,0.0003581855165035201,0.0004869487505424358,0.0001492974071377884,0.0005463261809570065,0.0003269000001182576
