state,instance,seed,generation,fraction,k,n,b,rep,group,action,rng_seed,region_seconds,attempts,evaluated,outside,noop,duplicate,decodes,gain,gain_per_decode,gain_per_budget,wall_seconds
Mk01-11-0,Mk01,11,0,0.25,14,1,4,0,R0,0.25-N1-b4,2607357969929612862,7.950000008349889e-05,160,1,158,1,0,1,0.0,0.0,0.0,0.005934700000011617
Mk01-11-0,Mk01,11,0,0.25,14,1,4,0,R1,0.25-N1-b4,2607357969929612862,5.659999999352294e-05,160,0,159,1,0,0,0.0,,0.0,0.0037786999999980253
Mk01-11-0,Mk01,11,0,0.25,14,1,4,0,S,0.25-N1-b4,2607357969929612862,2.4800000005598122e-05,160,1,158,1,0,1,0.0,0.0,0.0,0.004593099999965489
Mk01-11-0,Mk01,11,0,0.25,14,1,4,0,A,0.25-N1-b4,2607357969929612862,2.4999999936881068e-05,160,0,159,1,0,0,0.0,,0.0,0.0037788000000773536
Mk01-11-0,Mk01,11,0,0.25,14,1,4,0,C,0.25-N1-b4,2607357969929612862,2.2400000034394907e-05,160,0,159,1,0,0,0.0,,0.0,0.004255599999964943
Mk01-11-0,Mk01,11,0,0.25,14,1,4,1,R0,0.25-N1-b4,14696330386700501756,3.100000003541936e-05,160,1,159,0,0,1,0.0,0.0,0.0,0.00458770000000186
Mk01-11-0,Mk01,11,0,0.25,14,1,4,1,R1,0.25-N1-b4,14696330386700501756,4.100000001017179e-05,160,0,160,0,0,0,0.0,,0.0,0.003761400000030335
Mk01-11-0,Mk01,11,0,0.25,14,1,4,1,S,0.25-N1-b4,14696330386700501756,2.4000000053092663e-05,160,0,160,0,0,0,0.0,,0.0,0.0037733000000343964
Mk01-11-0,Mk01,11,0,0.25,14,1,4,1,A,0.25-N1-b4,14696330386700501756,2.3499999997511622e-05,160,0,160,0,0,0,0.0,,0.0,0.004287400000066555
Mk01-11-0,Mk01,11,0,0.25,14,1,4,1,C,0.25-N1-b4,14696330386700501756,4.0799999965202005e-05,160,0,160,0,0,0,0.0,,0.0,0.004015100000060556
Mk01-11-0,Mk01,11,0,0.25,14,1,4,2,R0,0.25-N1-b4,9961924897358870879,3.390000006220362e-05,160,1,157,2,0,1,0.01047906578240688,0.01047906578240688,0.00261976644560172,0.0045898000000761385
Mk01-11-0,Mk01,11,0,0.25,14,1,4,2,R1,0.25-N1-b4,9961924897358870879,4.269999999451102e-05,160,0,158,2,0,0,0.0,,0.0,0.0037656999999171603
Mk01-11-0,Mk01,11,0,0.25,14,1,4,2,S,0.25-N1-b4,9961924897358870879,4.5300000010684016e-05,160,0,158,2,0,0,0.0,,0.0,0.004387399999927766
Mk01-11-0,Mk01,11,0,0.25,14,1,4,2,A,0.25-N1-b4,9961924897358870879,4.0500000068277586e-05,160,2,156,2,0,2,0.0,0.0,0.0,0.0054383000000370885
Mk01-11-0,Mk01,11,0,0.25,14,1,4,2,C,0.25-N1-b4,9961924897358870879,2.4499999994986865e-05,160,1,157,2,0,1,0.0,0.0,0.0,0.004565799999909359
Mk01-11-0,Mk01,11,0,0.25,14,1,4,3,R0,0.25-N1-b4,8207351888325197024,2.7100000011159864e-05,160,1,155,4,0,1,0.0,0.0,0.0,0.005670000000009168
Mk01-11-0,Mk01,11,0,0.25,14,1,4,3,R1,0.25-N1-b4,8207351888325197024,6.08000000283937e-05,160,0,156,4,0,0,0.0,,0.0,0.003755299999966155
Mk01-11-0,Mk01,11,0,0.25,14,1,4,3,S,0.25-N1-b4,8207351888325197024,2.4599999960628338e-05,160,2,154,4,0,2,0.0,0.0,0.0,0.0053782999999612
Mk01-11-0,Mk01,11,0,0.25,14,1,4,3,A,0.25-N1-b4,8207351888325197024,2.510000001620938e-05,160,1,155,4,0,1,0.0,0.0,0.0,0.004863799999952789
Mk01-11-0,Mk01,11,0,0.25,14,1,4,3,C,0.25-N1-b4,8207351888325197024,3.1100000001060835e-05,160,2,154,4,0,2,0.0,0.0,0.0,0.005370299999981398
Mk01-11-0,Mk01,11,0,0.25,14,1,8,0,R0,0.25-N1-b8,2607357969929612862,2.700000004551839e-05,320,2,316,2,0,2,0.0,0.0,0.0,0.00919730000009622
Mk01-11-0,Mk01,11,0,0.25,14,1,8,0,R1,0.25-N1-b8,2607357969929612862,4.250000006322807e-05,320,1,317,2,0,1,0.0,0.0,0.0,0.008913099999972474
Mk01-11-0,Mk01,11,0,0.25,14,1,8,0,S,0.25-N1-b8,2607357969929612862,3.4999999911633495e-05,320,2,316,2,0,2,0.0,0.0,0.0,0.009492500000078508
Mk01-11-0,Mk01,11,0,0.25,14,1,8,0,A,0.25-N1-b8,2607357969929612862,3.5099999990961805e-05,320,1,317,2,0,1,0.0,0.0,0.0,0.008328200000050856
Mk01-11-0,Mk01,11,0,0.25,14,1,8,0,C,0.25-N1-b8,2607357969929612862,2.3499999997511622e-05,320,1,317,2,0,1,0.0,0.0,0.0,0.00882390000003852
Mk01-11-0,Mk01,11,0,0.25,14,1,8,1,R0,0.25-N1-b8,14696330386700501756,3.249999997478881e-05,320,1,318,1,0,1,0.0,0.0,0.0,0.008300899999994726
Mk01-11-0,Mk01,11,0,0.25,14,1,8,1,R1,0.25-N1-b8,14696330386700501756,4.080000007888884e-05,320,1,318,1,0,1,0.0003584575536664369,0.0003584575536664369,4.480719420830461e-05,0.00893410000003314
Mk01-11-0,Mk01,11,0,0.25,14,1,8,1,S,0.25-N1-b8,14696330386700501756,3.569999989849748e-05,320,0,319,1,0,0,0.0,,0.0,0.007433500000047388
Mk01-11-0,Mk01,11,0,0.25,14,1,8,1,A,0.25-N1-b8,14696330386700501756,2.4499999994986865e-05,320,1,318,1,0,1,0.007436320628836252,0.007436320628836252,0.0009295400786045315,0.00901520000002165
Mk01-11-0,Mk01,11,0,0.25,14,1,8,1,C,0.25-N1-b8,14696330386700501756,3.5600000046542846e-05,320,0,319,1,0,0,0.0,,0.0,0.007616700000085075
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,R0,0.25-N1-b8,9961924897358870879,3.090000006977789e-05,320,1,314,5,0,1,0.01047906578240688,0.01047906578240688,0.00130988322280086,0.00899919999994836
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,R1,0.25-N1-b8,9961924897358870879,5.60999999379419e-05,320,1,314,5,0,1,0.0,0.0,0.0,0.008212700000058248
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,S,0.25-N1-b8,9961924897358870879,2.509999990252254e-05,320,1,314,5,0,1,0.0,0.0,0.0,0.008723700000018653
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,A,0.25-N1-b8,9961924897358870879,3.179999998792482e-05,320,2,313,5,0,2,0.0,0.0,0.0,0.008988799999997354
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,C,0.25-N1-b8,9961924897358870879,2.329999995254184e-05,320,2,313,5,0,2,0.0,0.0,0.0,0.009885700000040742
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,R0,0.25-N1-b8,8207351888325197024,2.9400000016721606e-05,320,1,315,4,0,1,0.0,0.0,0.0,0.008160499999917192
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,R1,0.25-N1-b8,8207351888325197024,4.1699999997035775e-05,320,0,316,4,0,0,0.0,,0.0,0.008613200000013421
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,S,0.25-N1-b8,8207351888325197024,4.11000000895001e-05,320,2,314,4,0,2,0.0,0.0,0.0,0.008886399999937566
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,A,0.25-N1-b8,8207351888325197024,2.5400000026820635e-05,320,1,315,4,0,1,0.0,0.0,0.0,0.009056400000076792
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,C,0.25-N1-b8,8207351888325197024,3.700000002027082e-05,320,2,314,4,0,2,0.0,0.0,0.0,0.009379899999998997
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,R0,0.25-N2-b4,11879687707191907126,3.309999999601132e-05,160,0,160,0,0,0,0.0,,0.0,0.005355199999939941
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,R1,0.25-N2-b4,11879687707191907126,4.879999994500395e-05,160,0,160,0,0,0,0.0,,0.0,0.0048811000000341664
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,S,0.25-N2-b4,11879687707191907126,2.3899999973764352e-05,160,0,160,0,0,0,0.0,,0.0,0.00503219999995963
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,A,0.25-N2-b4,11879687707191907126,2.5499999992462108e-05,160,0,160,0,0,0,0.0,,0.0,0.005531100000098377
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,C,0.25-N2-b4,11879687707191907126,3.2799999985400063e-05,160,0,160,0,0,0,0.0,,0.0,0.004877299999975548
Mk01-11-0,Mk01,11,0,0.25,14,2,4,1,R0,0.25-N2-b4,3066955024430834491,2.520000009553769e-05,160,0,160,0,0,0,0.0,,0.0,0.004918199999906392
Mk01-11-0,Mk01,11,0,0.25,14,2,4,1,R1,0.25-N2-b4,3066955024430834491,3.760000004149333e-05,160,0,160,0,0,0,0.0,,0.0,0.0057438000000047396
Mk01-11-0,Mk01,11,0,0.25,14,2,4,1,S,0.25-N2-b4,3066955024430834491,3.570000001218432e-05,160,0,160,0,0,0,0.0,,0.0,0.004923500000018066
Mk01-11-0,Mk01,11,0,0.25,14,2,4,1,A,0.25-N2-b4,3066955024430834491,2.3600000076839933e-05,160,0,160,0,0,0,0.0,,0.0,0.004903399999989233
Mk01-11-0,Mk01,11,0,0.25,14,2,4,1,C,0.25-N2-b4,3066955024430834491,2.210000002378365e-05,160,0,160,0,0,0,0.0,,0.0,0.006578099999956066
Mk01-11-0,Mk01,11,0,0.25,14,2,4,2,R0,0.25-N2-b4,13236972792294484644,3.1499999977313564e-05,160,0,160,0,0,0,0.0,,0.0,0.0049639000000070155
Mk01-11-0,Mk01,11,0,0.25,14,2,4,2,R1,0.25-N2-b4,13236972792294484644,4.109999997581326e-05,160,0,160,0,0,0,0.0,,0.0,0.004961099999945873
Mk01-11-0,Mk01,11,0,0.25,14,2,4,2,S,0.25-N2-b4,13236972792294484644,2.3199999986900366e-05,160,0,160,0,0,0,0.0,,0.0,0.00559320000002117
Mk01-11-0,Mk01,11,0,0.25,14,2,4,2,A,0.25-N2-b4,13236972792294484644,3.309999999601132e-05,160,0,160,0,0,0,0.0,,0.0,0.004947499999957472
Mk01-11-0,Mk01,11,0,0.25,14,2,4,2,C,0.25-N2-b4,13236972792294484644,2.289999997628911e-05,160,0,160,0,0,0,0.0,,0.0,0.004942000000028202
Mk01-11-0,Mk01,11,0,0.25,14,2,4,3,R0,0.25-N2-b4,4143628767322202625,2.4499999994986865e-05,160,0,160,0,0,0,0.0,,0.0,0.005767900000023474
Mk01-11-0,Mk01,11,0,0.25,14,2,4,3,R1,0.25-N2-b4,4143628767322202625,5.529999998543644e-05,160,0,160,0,0,0,0.0,,0.0,0.005007200000022749
Mk01-11-0,Mk01,11,0,0.25,14,2,4,3,S,0.25-N2-b4,4143628767322202625,2.419999998437561e-05,160,0,160,0,0,0,0.0,,0.0,0.005003900000019712
Mk01-11-0,Mk01,11,0,0.25,14,2,4,3,A,0.25-N2-b4,4143628767322202625,2.3499999997511622e-05,160,0,160,0,0,0,0.0,,0.0,0.005392400000005182
Mk01-11-0,Mk01,11,0,0.25,14,2,4,3,C,0.25-N2-b4,4143628767322202625,3.100000003541936e-05,160,0,160,0,0,0,0.0,,0.0,0.0050059000000146625
Mk01-11-0,Mk01,11,0,0.25,14,2,8,0,R0,0.25-N2-b8,11879687707191907126,2.6300000058654405e-05,320,0,320,0,0,0,0.0,,0.0,0.010414500000024418
Mk01-11-0,Mk01,11,0,0.25,14,2,8,0,R1,0.25-N2-b8,11879687707191907126,5.5799999927330646e-05,320,0,320,0,0,0,0.0,,0.0,0.00996989999998732
Mk01-11-0,Mk01,11,0,0.25,14,2,8,0,S,0.25-N2-b8,11879687707191907126,2.649999998993735e-05,320,0,320,0,0,0,0.0,,0.0,0.01044200000001183
Mk01-11-0,Mk01,11,0,0.25,14,2,8,0,A,0.25-N2-b8,11879687707191907126,3.7199999951553764e-05,320,0,320,0,0,0,0.0,,0.0,0.00999139999998988
Mk01-11-0,Mk01,11,0,0.25,14,2,8,0,C,0.25-N2-b8,11879687707191907126,2.2699999931319326e-05,320,0,320,0,0,0,0.0,,0.0,0.010246600000073158
Mk01-11-0,Mk01,11,0,0.25,14,2,8,1,R0,0.25-N2-b8,3066955024430834491,3.079999999044958e-05,320,0,320,0,0,0,0.0,,0.0,0.010297499999978754
Mk01-11-0,Mk01,11,0,0.25,14,2,8,1,R1,0.25-N2-b8,3066955024430834491,5.69000000041342e-05,320,0,320,0,0,0,0.0,,0.0,0.010042800000064744
Mk01-11-0,Mk01,11,0,0.25,14,2,8,1,S,0.25-N2-b8,3066955024430834491,2.4900000084926432e-05,320,0,320,0,0,0,0.0,,0.0,0.01054429999999229
Mk01-11-0,Mk01,11,0,0.25,14,2,8,1,A,0.25-N2-b8,3066955024430834491,3.72000000652406e-05,320,0,320,0,0,0,0.0,,0.0,0.01024130000007517
Mk01-11-0,Mk01,11,0,0.25,14,2,8,1,C,0.25-N2-b8,3066955024430834491,5.0499999929343176e-05,320,0,320,0,0,0,0.0,,0.0,0.010044600000014725
Mk01-11-0,Mk01,11,0,0.25,14,2,8,2,R0,0.25-N2-b8,13236972792294484644,2.689999996619008e-05,320,0,320,0,0,0,0.0,,0.0,0.010350600000037957
Mk01-11-0,Mk01,11,0,0.25,14,2,8,2,R1,0.25-N2-b8,13236972792294484644,4.879999994500395e-05,320,0,320,0,0,0,0.0,,0.0,0.009752800000001116
Mk01-11-0,Mk01,11,0,0.25,14,2,8,2,S,0.25-N2-b8,13236972792294484644,2.430000006370392e-05,320,0,320,0,0,0,0.0,,0.0,0.010696000000052663
Mk01-11-0,Mk01,11,0,0.25,14,2,8,2,A,0.25-N2-b8,13236972792294484644,3.4300000038456346e-05,320,0,320,0,0,0,0.0,,0.0,0.010572300000035284
Mk01-11-0,Mk01,11,0,0.25,14,2,8,2,C,0.25-N2-b8,13236972792294484644,3.409999999348656e-05,320,0,320,0,0,0,0.0,,0.0,0.010321100000055594
Mk01-11-0,Mk01,11,0,0.25,14,2,8,3,R0,0.25-N2-b8,4143628767322202625,2.559999995810358e-05,320,0,320,0,0,0,0.0,,0.0,0.01043359999994209
Mk01-11-0,Mk01,11,0,0.25,14,2,8,3,R1,0.25-N2-b8,4143628767322202625,5.1399999961176945e-05,320,0,320,0,0,0,0.0,,0.0,0.010403800000062802
Mk01-11-0,Mk01,11,0,0.25,14,2,8,3,S,0.25-N2-b8,4143628767322202625,6.800000005569018e-05,320,0,320,0,0,0,0.0,,0.0,0.010094400000070891
Mk01-11-0,Mk01,11,0,0.25,14,2,8,3,A,0.25-N2-b8,4143628767322202625,3.159999994295504e-05,320,0,320,0,0,0,0.0,,0.0,0.01041680000002998
