state,instance,optimizer_seed,generation,population_index,fraction,n,b,repeat,action,rng_seed,region_seconds,makespan_improvement,tec_improvement,hv_gain_per_allowed_decode,attempts,evaluated,outside,noop,duplicate,decodes,gain,gain_per_decode,gain_per_budget,wall_seconds
Mk01-1401-0,Mk01,1401,0,18,0.25,1,4,0,K0.25-N1-b4,2324261536617354013,1.7099999240599573e-05,0.011635722798673828,0.0,0.0002884912960439386,160,2,157,1,0,2,0.0011539651841757544,0.0005769825920878772,0.0002884912960439386,0.005535899996175431
Mk01-1401-0,Mk01,1401,0,18,0.25,1,4,1,K0.25-N1-b4,8762580324071416306,1.7099999240599573e-05,0.0,0.0,0.0,160,0,160,0,0,0,0.0,,0.0,0.0037712999983341433
Mk01-1401-0,Mk01,1401,0,18,0.25,1,4,2,K0.25-N1-b4,10497823637140662663,1.5899997379165143e-05,0.0,0.0,0.0,160,1,158,1,0,1,0.0,0.0,0.0,0.005585899998550303
Mk01-1401-0,Mk01,1401,0,18,0.25,1,4,3,K0.25-N1-b4,8105449117995502925,1.7400001524947584e-05,0.0,0.0,0.0,160,0,159,1,0,0,0.0,,0.0,0.0037940999973216094
Mk01-1401-0,Mk01,1401,0,18,0.25,1,12,0,K0.25-N1-b12,2324261536617354013,1.599999814061448e-05,0.011635722798673828,0.013827935830837345,0.00022284634167571744,480,3,475,2,0,3,0.0026741561001086094,0.0008913853667028697,0.00022284634167571744,0.015096400005859323
Mk01-1401-0,Mk01,1401,0,18,0.25,1,12,1,K0.25-N1-b12,8762580324071416306,1.8800004909280688e-05,0.01759479442614992,0.016361575913393177,0.00030695963321985967,480,2,477,1,0,2,0.003683515598638316,0.001841757799319158,0.00030695963321985967,0.013796999999613035
Mk01-1401-0,Mk01,1401,0,18,0.25,1,12,2,K0.25-N1-b12,10497823637140662663,1.930000144056976e-05,0.0,0.0,0.0,480,2,476,1,1,2,0.0,0.0,0.0,0.013857199999620207
Mk01-1401-0,Mk01,1401,0,18,0.25,1,12,3,K0.25-N1-b12,8105449117995502925,4.02999939979054e-05,0.0116357227986737,0.011060439635174786,0.00019985937108426776,480,3,472,5,0,3,0.0023983124530112133,0.0007994374843370711,0.00019985937108426776,0.013944599995738827
Mk01-1401-0,Mk01,1401,0,18,0.25,2,4,0,K0.25-N2-b4,12735113657287176581,1.68999977177009e-05,0.0,0.0,0.0,160,0,160,0,0,0,0.0,,0.0,0.006107000001065899
Mk01-1401-0,Mk01,1401,0,18,0.25,2,4,1,K0.25-N2-b4,6940528952734316633,2.099999983329326e-05,0.0,0.0,0.0,160,0,159,1,0,0,0.0,,0.0,0.00499629999831086
Mk01-1401-0,Mk01,1401,0,18,0.25,2,4,2,K0.25-N2-b4,13665589293163928630,1.5900004655122757e-05,0.0,0.0,0.0,160,0,160,0,0,0,0.0,,0.0,0.005000000004656613
Mk01-1401-0,Mk01,1401,0,18,0.25,2,4,3,K0.25-N2-b4,16829025336410670409,1.599999814061448e-05,0.0,0.0,0.0,160,0,160,0,0,0,0.0,,0.0,0.005931899999268353
Mk01-1401-0,Mk01,1401,0,18,0.25,2,12,0,K0.25-N2-b12,12735113657287176581,2.0300001779105514e-05,0.0,0.0,0.0,480,0,480,0,0,0,0.0,,0.0,0.0156760999961989
Mk01-1401-0,Mk01,1401,0,18,0.25,2,12,1,K0.25-N2-b12,6940528952734316633,2.099999983329326e-05,0.0,0.0,0.0,480,0,479,1,0,0,0.0,,0.0,0.016014000000723172
Mk01-1401-0,Mk01,1401,0,18,0.25,2,12,2,K0.25-N2-b12,13665589293163928630,2.1899999410379678e-05,0.0,0.0,0.0,480,0,480,0,0,0,0.0,,0.0,0.016371199999412056
Mk01-1401-0,Mk01,1401,0,18,0.25,2,12,3,K0.25-N2-b12,16829025336410670409,2.1100000594742596e-05,0.0,0.0,0.0,480,0,480,0,0,0,0.0,,0.0,0.01549420000083046
Mk01-1401-0,Mk01,1401,0,18,0.25,3,4,0,K0.25-N3-b4,1733738911153528775,2.0799998310394585e-05,0.047305426426646924,0.12958611524667882,0.005954820152012338,16,4,12,0,0,4,0.023819280608049352,0.005954820152012338,0.005954820152012338,0.003722300003573764
Mk01-1401-0,Mk01,1401,0,18,0.25,3,4,1,K0.25-N3-b4,10666902044633362597,1.630000042496249e-05,0.047305426426646924,0.12958611524667882,0.005954820152012338,42,4,38,0,0,4,0.023819280608049352,0.005954820152012338,0.005954820152012338,0.004261499998392537
Mk01-1401-0,Mk01,1401,0,18,0.25,3,4,2,K0.25-N3-b4,15892319923417842697,1.6399993910454214e-05,0.058941149225320746,0.03285081817424713,0.0027788654290347467,26,4,21,0,1,4,0.011115461716138987,0.0027788654290347467,0.0027788654290347467,0.0038501000017276965
Mk01-1401-0,Mk01,1401,0,18,0.25,3,4,3,K0.25-N3-b4,2802737397137948499,1.68999977177009e-05,0.011889901209324365,0.011838965726000378,0.0006284127066087989,16,4,12,0,0,4,0.0025136508264351955,0.0006284127066087989,0.0006284127066087989,0.0049011999944923446
